"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,-7.585296631E-1,5.335998535E-1,8.597412109E0,8.647288074E0
2.319336000E-3,-8.111724854E-1,5.527496338E-1,9.073577881E0,9.126518970E0
4.669190000E-3,-8.518524170E-1,5.814514160E-1,9.257827759E0,9.315101347E0
6.988526000E-3,-8.877410889E-1,5.814514160E-1,9.308074951E0,9.368373887E0
9.338379000E-3,-9.044799805E-1,6.006011963E-1,9.284149170E0,9.347418448E0
1.168823300E-2,-9.164581299E-1,6.173553467E-1,9.250656128E0,9.316418943E0
1.400756900E-2,-9.188385010E-1,6.006011963E-1,9.226730347E0,9.291799550E0
1.635742200E-2,-8.901367188E-1,6.340942383E-1,9.174087524E0,9.238955611E0
1.867675800E-2,-8.685913086E-1,6.149597168E-1,9.138183594E0,9.199947049E0
2.102661200E-2,-8.614196777E-1,6.293182373E-1,9.109481812E0,9.171736159E0
2.337646500E-2,-8.255310059E-1,6.436767578E-1,9.080764771E0,9.140903130E0
2.569580100E-2,-8.039855957E-1,6.604156494E-1,9.097518921E0,9.156822166E0
2.804565400E-2,-7.752685547E-1,6.556396484E-1,9.126220703E0,9.182527376E0
3.036499000E-2,-7.489471436E-1,6.652069092E-1,9.166900635E0,9.221468934E0
3.271484400E-2,-7.226257324E-1,6.580200195E-1,9.231506348E0,9.283096883E0
3.506469700E-2,-6.843414307E-1,6.460571289E-1,9.267395020E0,9.315058961E0
3.738403300E-2,-6.293182373E-1,6.436767578E-1,9.322433472E0,9.365795591E0
3.973388700E-2,-5.934143066E-1,6.221313477E-1,9.334396362E0,9.373907584E0
4.205322300E-2,-5.670928955E-1,6.077728271E-1,9.332015991E0,9.368964971E0
4.440307600E-2,-5.431671143E-1,5.934143066E-1,9.327224731E0,9.361853035E0
4.675293000E-2,-5.096740723E-1,5.670928955E-1,9.348754883E0,9.379796366E0
4.907226600E-2,-4.618072510E-1,5.431671143E-1,9.365509033E0,9.392606449E0
5.142211900E-2,-4.402770996E-1,5.192413330E-1,9.401397705E0,9.426013701E0
5.374145500E-2,-4.019927979E-1,4.977111816E-1,9.444473267E0,9.466117996E0
5.609130900E-2,-3.493499756E-1,4.689941406E-1,9.442077637E0,9.460170771E0
5.844116200E-2,-3.134613037E-1,4.761657715E-1,9.482757568E0,9.499878048E0
6.076049800E-2,-3.062744141E-1,4.642028809E-1,9.523437500E0,9.539661951E0
6.311035200E-2,-3.086700439E-1,4.642028809E-1,9.554534912E0,9.570783609E0
6.542968800E-2,-3.206329346E-1,4.522399902E-1,9.580856323E0,9.596881492E0
6.777954100E-2,-3.038940430E-1,4.402770996E-1,9.573684692E0,9.588620031E0
7.012939500E-2,-2.847442627E-1,4.402770996E-1,9.597610474E0,9.611922286E0
7.244873100E-2,-2.512512207E-1,4.331054688E-1,9.604797363E0,9.617839670E0
7.479858400E-2,-1.962127686E-1,4.259185791E-1,9.588043213E0,9.599504088E0
7.711792000E-2,-1.411743164E-1,4.235229492E-1,9.590438843E0,9.600823875E0
7.946777400E-2,-7.177734375E-2,4.091796875E-1,9.588043213E0,9.597038744E0
8.181762700E-2,-7.171630859E-3,4.115600586E-1,9.578475952E0,9.587316344E0
8.413696300E-2,3.588867188E-2,4.115600586E-1,9.573684692E0,9.582594026E0
8.648681700E-2,4.785156250E-2,4.283142090E-1,9.561721802E0,9.571429708E0
8.880615300E-2,6.939697266E-2,4.139556885E-1,9.568893433E0,9.578094632E0
9.115600600E-2,1.052856445E-1,3.924255371E-1,9.537796021E0,9.546446239E0
9.350586000E-2,1.196441650E-1,3.924255371E-1,9.533004761E0,9.541828561E0
9.582519500E-2,1.268157959E-1,3.732757568E-1,9.573684692E0,9.581798142E0
9.817504900E-2,1.387786865E-1,3.756713867E-1,9.621536255E0,9.629867518E0
1.004943850E-1,1.268157959E-1,3.732757568E-1,9.635894775E0,9.643955887E0
1.028442380E-1,1.651000977E-1,3.732757568E-1,9.657424927E0,9.666046195E0
1.051940920E-1,1.770629883E-1,3.637084961E-1,9.674179077E0,9.682632699E0
1.075134280E-1,1.962127686E-1,3.613128662E-1,9.683746338E0,9.692470767E0
1.098632810E-1,2.273254395E-1,3.517456055E-1,9.695724487E0,9.704765590E0
1.121826170E-1,2.464599609E-1,3.421783447E-1,9.686141968E0,9.695317156E0
1.145324710E-1,2.751770020E-1,3.325958252E-1,9.683746338E0,9.693362961E0
1.168823240E-1,3.038940430E-1,3.254241943E-1,9.695724487E0,9.705942810E0
1.192016600E-1,3.230285645E-1,3.278198242E-1,9.681365967E0,9.692299019E0
1.215515140E-1,3.613128662E-1,3.206329346E-1,9.700500488E0,9.712520898E0
1.238708500E-1,3.661041260E-1,3.325958252E-1,9.693328857E0,9.705940271E0
1.262207030E-1,3.756713867E-1,3.230285645E-1,9.707687378E0,9.720322560E0
1.285705570E-1,3.661041260E-1,3.134613037E-1,9.719650269E0,9.731592447E0
1.308898930E-1,3.565368652E-1,3.062744141E-1,9.734008789E0,9.745350156E0
1.332397460E-1,3.708801270E-1,2.847442627E-1,9.753143311E0,9.764345129E0
1.355896000E-1,3.876342773E-1,2.751770020E-1,9.753143311E0,9.764721560E0
1.379089360E-1,3.900299072E-1,2.775726318E-1,9.753143311E0,9.764884758E0
1.402587890E-1,4.211425781E-1,2.799530029E-1,9.753143311E0,9.766244887E0
1.425781250E-1,4.307098389E-1,2.871398926E-1,9.748352051E0,9.762086252E0
1.449279790E-1,4.498443604E-1,3.086700439E-1,9.714859009E0,9.730165605E0
1.472778320E-1,4.665985107E-1,3.134613037E-1,9.669403076E0,9.685728058E0
1.495971680E-1,4.761657715E-1,3.302154541E-1,9.631118774E0,9.648534859E0
1.519470220E-1,4.713897705E-1,3.134613037E-1,9.611968994E0,9.628624733E0
1.542663580E-1,4.498443604E-1,3.254241943E-1,9.609573364E0,9.625599259E0
1.566162110E-1,4.474639893E-1,3.230285645E-1,9.592819214E0,9.608681072E0
1.589660650E-1,4.235229492E-1,3.349914551E-1,9.609573364E0,9.624733306E0
1.612854010E-1,3.948211670E-1,3.589172363E-1,9.611968994E0,9.626767541E0
1.636352540E-1,3.637084961E-1,3.708801270E-1,9.647857666E0,9.661831787E0
1.659545900E-1,3.278198242E-1,3.708801270E-1,9.664611816E0,9.677279549E0
1.683044440E-1,3.182525635E-1,3.900299072E-1,9.690933228E0,9.703998910E0
1.706542970E-1,3.254241943E-1,4.115600586E-1,9.719650269E0,9.733801104E0
1.729736330E-1,3.302154541E-1,4.019927979E-1,9.734008789E0,9.747900675E0
1.753234870E-1,3.134613037E-1,4.091796875E-1,9.741180420E0,9.754808147E0
1.776733400E-1,2.799530029E-1,4.283142090E-1,9.750747681E0,9.764164433E0
1.799926760E-1,2.584228516E-1,4.498443604E-1,9.736389160E0,9.750200829E0
1.823425290E-1,2.560272217E-1,4.833526611E-1,9.686141968E0,9.701573375E0
1.846618650E-1,2.656097412E-1,4.833526611E-1,9.640686035E0,9.656448910E0
1.870117190E-1,2.560272217E-1,5.001068115E-1,9.585647583E0,9.602098539E0
1.893615720E-1,2.321014404E-1,5.264282227E-1,9.540191650E0,9.557523449E0
1.916809080E-1,2.225341797E-1,5.383911133E-1,9.506683350E0,9.524516511E0
1.940307620E-1,2.225341797E-1,5.551300049E-1,9.473190308E0,9.492050642E0
1.963500980E-1,2.249298096E-1,5.599212646E-1,9.408584595E0,9.427914367E0
1.986999510E-1,2.297058105E-1,5.527496338E-1,9.382263184E0,9.401338169E0
2.010498050E-1,2.416687012E-1,5.718841553E-1,9.310470581E0,9.331147716E0
2.033691410E-1,2.416687012E-1,5.838470459E-1,9.250656128E0,9.272212246E0
2.057189940E-1,2.464599609E-1,5.814514160E-1,9.205184937E0,9.226822746E0
