"Time (s)","Pressure (hPa)"
0.000000000E0,9.871528320E2
3.845214900E-2,9.871528320E2
7.690429700E-2,9.871528320E2
1.153564450E-1,9.871534424E2
1.538085940E-1,9.871534424E2
1.922912600E-1,9.871534424E2
2.307128910E-1,9.871534424E2
2.691650390E-1,9.871508179E2
3.076171880E-1,9.871508179E2
3.460693360E-1,9.871508179E2
3.845214850E-1,9.871508179E2
4.230041510E-1,9.871508179E2
4.614562990E-1,9.871549072E2
4.998779300E-1,9.871549072E2
5.383300780E-1,9.871549072E2
5.767822270E-1,9.871549072E2
6.152343750E-1,9.871574707E2
6.536865240E-1,9.871574707E2
6.921386720E-1,9.871574707E2
7.306213380E-1,9.871574707E2
7.696838380E-1,9.871560059E2
8.074951170E-1,9.871560059E2
8.459472660E-1,9.871560059E2
8.843994140E-1,9.871560059E2
9.228515630E-1,9.871560059E2
9.613037110E-1,9.871585693E2
9.997558600E-1,9.871585693E2
1.038238526E0,9.871585693E2
1.076660156E0,9.871585693E2
1.115112305E0,9.871505127E2
1.153564453E0,9.871505127E2
1.192016602E0,9.871505127E2
1.230468750E0,9.871505127E2
1.268920899E0,9.871473389E2
1.307403565E0,9.871473389E2
1.345825195E0,9.871473389E2
1.384277344E0,9.871473389E2
1.422729492E0,9.871473389E2
1.461517334E0,9.871484985E2
1.499603272E0,9.871484985E2
1.538085938E0,9.871484985E2
1.576538086E0,9.871484985E2
1.615020752E0,9.871492920E2
1.653442383E0,9.871492920E2
1.691894531E0,9.871492920E2
1.730346680E0,9.871492920E2
1.768798828E0,9.871536255E2
1.807250977E0,9.871536255E2
1.845703125E0,9.871536255E2
1.884185791E0,9.871536255E2
1.922607422E0,9.871536255E2
1.961059570E0,9.871562500E2
1.999511719E0,9.871562500E2
2.037963867E0,9.871562500E2
2.076416016E0,9.871562500E2
2.114868164E0,9.871605225E2
2.153320313E0,9.871605225E2
2.191802979E0,9.871605225E2
2.230224610E0,9.871605225E2
2.268676758E0,9.871654053E2
2.307128906E0,9.871654053E2
2.345581055E0,9.871654053E2
2.384033203E0,9.871654053E2
2.422485352E0,9.871654053E2
2.460968018E0,9.871622314E2
2.499389649E0,9.871622314E2
2.537841797E0,9.871622314E2
2.576293945E0,9.871622314E2
2.614715576E0,9.871705322E2
2.653198242E0,9.871705322E2
2.691650391E0,9.871705322E2
2.730102539E0,9.871705322E2
2.768585205E0,9.871656494E2
2.807586670E0,9.871656494E2
2.845458985E0,9.871656494E2
2.883911133E0,9.871656494E2
2.922363281E0,9.871656494E2
2.960815430E0,9.871670532E2
2.999267578E0,9.871670532E2
3.037750244E0,9.871670532E2
3.076171875E0,9.871670532E2
3.114654541E0,9.871650391E2
3.153076172E0,9.871650391E2
3.191528320E0,9.871650391E2
3.229980469E0,9.871650391E2
3.268432617E0,9.871607056E2
3.306915283E0,9.871607056E2
3.345336914E0,9.871607056E2
3.383789063E0,9.871607056E2
3.422241211E0,9.871607056E2
3.460693360E0,9.871632690E2
3.499359131E0,9.871632690E2
3.537597656E0,9.871632690E2
3.576049805E0,9.871632690E2
3.614532471E0,9.871641235E2
3.652954102E0,9.871641235E2
3.691467285E0,9.871641235E2
3.729858399E0,9.871641235E2
3.768310547E0,9.871563110E2
3.806762695E0,9.871563110E2
3.845214844E0,9.871563110E2
3.883697510E0,9.871563110E2
3.922119141E0,9.871563110E2
3.960571289E0,9.871629639E2
3.999023438E0,9.871629639E2
4.037475586E0,9.871629639E2
4.075927735E0,9.871629639E2
4.114379883E0,9.871655273E2
4.152832031E0,9.871655273E2
4.191345215E0,9.871655273E2
4.229736328E0,9.871655273E2
4.268188477E0,9.871629028E2
4.306640625E0,9.871629028E2
4.345092774E0,9.871629028E2
4.383544922E0,9.871629028E2
4.421997070E0,9.871629028E2
4.460479736E0,9.871660767E2
4.498901367E0,9.871660767E2
4.537353516E0,9.871660767E2
4.575805664E0,9.871660767E2
4.614257813E0,9.871651611E2
4.652709961E0,9.871651611E2
4.691162110E0,9.871651611E2
4.729614258E0,9.871651611E2
4.768096924E0,9.871608276E2
4.806579590E0,9.871608276E2
4.845520020E0,9.871608276E2
4.883422852E0,9.871608276E2
4.921875000E0,9.871608276E2
4.960327149E0,9.871562500E2
4.998779297E0,9.871562500E2
5.037261963E0,9.871562500E2
5.075683594E0,9.871562500E2
5.114135742E0,9.871495972E2
5.152587891E0,9.871495972E2
5.191040039E0,9.871495972E2
5.229492188E0,9.871495972E2
5.267944336E0,9.871450195E2
5.306396485E0,9.871450195E2
5.344879151E0,9.871450195E2
5.383300781E0,9.871450195E2
5.421752930E0,9.871441040E2
5.460205078E0,9.871441040E2
5.501129151E0,9.871441040E2
5.537353516E0,9.871441040E2
5.575561524E0,9.871441040E2
5.614044190E0,9.871478271E2
5.652465820E0,9.871478271E2
5.690917969E0,9.871478271E2
5.729370117E0,9.871478271E2
5.767822266E0,9.871449585E2
5.806274414E0,9.871449585E2
5.844757080E0,9.871449585E2
5.883209229E0,9.871449585E2
5.921630860E0,9.871475220E2
5.960083008E0,9.871475220E2
5.998504639E0,9.871475220E2
6.037048340E0,9.871475220E2
6.075439453E0,9.871475220E2
6.113891602E0,9.871480713E2
6.152343750E0,9.871480713E2
6.190826416E0,9.871480713E2
6.229248047E0,9.871480713E2
6.267700195E0,9.871466064E2
6.308044434E0,9.871466064E2
6.344604492E0,9.871466064E2
6.383056641E0,9.871466064E2
6.421508789E0,9.871472168E2
6.459991455E0,9.871472168E2
6.498413086E0,9.871472168E2
6.536865235E0,9.871472168E2
6.575317383E0,9.871472168E2
6.613769531E0,9.871492310E2
6.652221680E0,9.871492310E2
6.690673828E0,9.871492310E2
6.729125977E0,9.871492310E2
6.767608643E0,9.871497803E2
6.806030274E0,9.871497803E2
6.844482422E0,9.871497803E2
6.883514404E0,9.871497803E2
6.921386719E0,9.871431274E2
6.959869385E0,9.871431274E2
6.998291016E0,9.871431274E2
7.036773682E0,9.871431274E2
7.075195313E0,9.871431274E2
7.115051270E0,9.871402588E2
7.152099610E0,9.871402588E2
7.190551758E0,9.871402588E2
7.229003906E0,9.871402588E2
7.267456055E0,9.871333618E2
7.305908203E0,9.871333618E2
7.344390869E0,9.871333618E2
7.382812500E0,9.871333618E2
7.421264649E0,9.871336060E2
7.459716797E0,9.871336060E2
7.498168945E0,9.871336060E2
7.536621094E0,9.871336060E2
7.575347901E0,9.871336060E2
7.613555908E0,9.871376343E2
7.651977539E0,9.871376343E2
7.690429688E0,9.871376343E2
7.728881836E0,9.871376343E2
7.767333985E0,9.871451416E2
7.805786133E0,9.871451416E2
7.844238281E0,9.871451416E2
7.882690430E0,9.871451416E2
7.922485352E0,9.871417236E2
7.959594727E0,9.871417236E2
7.998046875E0,9.871417236E2
8.036499024E0,9.871417236E2
8.074951172E0,9.871417236E2
8.113403320E0,9.871434326E2
8.151855469E0,9.871434326E2
8.190338135E0,9.871434326E2
8.228723560E0,9.871434326E2
8.267175708E0,9.871511841E2
8.305627857E0,9.871511841E2
8.344080005E0,9.871511841E2
8.382532154E0,9.871511841E2
8.420984302E0,9.871425171E2
8.459466968E0,9.871425171E2
8.497888599E0,9.871425171E2
8.536340747E0,9.871425171E2
8.574792896E0,9.871425171E2
8.613245044E0,9.871358643E2
8.651697193E0,9.871358643E2
8.690149341E0,9.871358643E2
8.729608570E0,9.871358643E2
8.767084155E0,9.871393433E2
8.805505786E0,9.871393433E2
8.843957935E0,9.871393433E2
8.882410083E0,9.871393433E2
8.920862232E0,9.871376343E2
8.959314380E0,9.871376343E2
8.997766529E0,9.871376343E2
9.036249195E0,9.871376343E2
9.074670825E0,9.871376343E2
9.113122974E0,9.871433716E2
9.151575122E0,9.871433716E2
9.190027271E0,9.871433716E2
9.228479419E0,9.871433716E2
9.266931568E0,9.871451416E2
9.305383716E0,9.871451416E2
9.343866382E0,9.871451416E2
9.382288013E0,9.871451416E2
9.420740161E0,9.871451416E2
9.459192310E0,9.871451416E2
9.497644458E0,9.871451416E2
9.536676441E0,9.871451416E2
9.574518237E0,9.871451416E2
9.613428150E0,9.871470947E2
9.651422534E0,9.871470947E2
9.689905200E0,9.871470947E2
9.728357349E0,9.871470947E2
9.766809497E0,9.871367188E2
9.805261646E0,9.871367188E2
9.843713794E0,9.871367188E2
9.882165943E0,9.871367188E2
9.920648609E0,9.871364746E2
9.959070239E0,9.871364746E2
9.997522388E0,9.871364746E2
1.003597454E1,9.871364746E2
1.007442668E1,9.871364746E2
1.011287883E1,9.871364746E2
1.015133098E1,9.871364746E2
1.018981365E1,9.871364746E2
1.022823528E1,9.871364746E2
1.026668743E1,9.871312866E2
1.030532268E1,9.871312866E2
1.034420208E1,9.871312866E2
1.038204387E1,9.871312866E2
1.042049602E1,9.871295166E2
1.045897869E1,9.871295166E2
1.049740032E1,9.871295166E2
1.053585247E1,9.871295166E2
1.057430461E1,9.871312866E2
1.061275676E1,9.871312866E2
1.065120891E1,9.871312866E2
1.068966106E1,9.871312866E2
1.072811321E1,9.871312866E2
1.076659587E1,9.871272583E2
1.080501750E1,9.871272583E2
1.084346965E1,9.871272583E2
1.088192180E1,9.871272583E2
1.092037395E1,9.871220703E2
1.095882610E1,9.871220703E2
1.099727825E1,9.871220703E2
1.103576091E1,9.871220703E2
1.107418254E1,9.871237793E2
1.111263469E1,9.871237793E2
1.115108684E1,9.871237793E2
1.118953899E1,9.871237793E2
1.122799114E1,9.871237793E2
1.126644329E1,9.871237793E2
1.130489544E1,9.871237793E2
1.134337810E1,9.871237793E2
1.138179973E1,9.871237793E2
1.142025188E1,9.871289673E2
1.145870403E1,9.871289673E2
1.149715618E1,9.871289673E2
1.153560832E1,9.871289673E2
1.157406047E1,9.871252441E2
1.161254314E1,9.871252441E2
1.165151409E1,9.871252441E2
1.168941692E1,9.871252441E2
1.172786907E1,9.871252441E2
1.176632122E1,9.871269531E2
1.180477336E1,9.871269531E2
1.184322551E1,9.871269531E2
1.188167766E1,9.871269531E2
1.192016033E1,9.871322021E2
1.195858196E1,9.871322021E2
1.199703411E1,9.871322021E2
1.203548626E1,9.871322021E2
1.207393840E1,9.871442871E2
1.211239055E1,9.871442871E2
1.215084270E1,9.871442871E2
1.218932537E1,9.871442871E2
1.222774700E1,9.871442871E2
1.226619915E1,9.871583252E2
1.230465129E1,9.871583252E2
1.234343914E1,9.871583252E2
1.238155559E1,9.871583252E2
1.242000774E1,9.871652832E2
1.245845989E1,9.871652832E2
1.249694255E1,9.871652832E2
1.253536418E1,9.871652832E2
1.257381633E1,9.871739502E2
1.261226848E1,9.871739502E2
1.265072063E1,9.871739502E2
1.268917278E1,9.871739502E2
1.272762493E1,9.871739502E2
1.276610759E1,9.871860352E2
1.280452922E1,9.871860352E2
1.284298137E1,9.871860352E2
1.288143352E1,9.871860352E2
1.291988567E1,9.871926270E2
1.295833782E1,9.871926270E2
1.299678997E1,9.871926270E2
1.303530315E1,9.871926270E2
1.307372478E1,9.872047729E2
1.311214641E1,9.872047729E2
1.315059856E1,9.872047729E2
1.318905071E1,9.872047729E2
1.322750286E1,9.872047729E2
1.326595500E1,9.872082520E2
1.330440715E1,9.872082520E2
1.334288982E1,9.872082520E2
1.338131145E1,9.872082520E2
1.341976360E1,9.872082520E2
1.345821575E1,9.872082520E2
1.349666790E1,9.872082520E2
1.353512004E1,9.872082520E2
1.357357219E1,9.872150879E2
1.361205486E1,9.872150879E2
1.365047649E1,9.872150879E2
1.368892864E1,9.872150879E2
1.372738079E1,9.872150879E2
1.376583294E1,9.872203369E2
1.380428508E1,9.872203369E2
1.384273723E1,9.872203369E2
1.388118938E1,9.872203369E2
1.391967205E1,9.872324219E2
1.395809368E1,9.872324219E2
1.399654582E1,9.872324219E2
1.403499797E1,9.872324219E2
1.407345012E1,9.872465210E2
1.411190227E1,9.872465210E2
1.415035442E1,9.872465210E2
1.418883709E1,9.872465210E2
1.422725872E1,9.872465210E2
1.426571086E1,9.872591553E2
